rating,review
1,"We had a very unpleasant stay at the Hotel 89 In Yorkville.  
Put aside the fact that their internet provider (Rogers) was out of service 6 hours; leaving..."
2,"This is only a hotel to book if you stay one or two nights and are barely here. The heating system is horrible, I had to go under 3 blankets to not feel..."
1,"I paid over $600 for 2 rooms at this hotel, one for myself and the other for my parents who had come to Toronto with me to help me recover from a double..."
4,Dined in at this restaurant on a Friday night. Arrived at 6pm right when it opened and there were a lot of available seats. They do not take reservations....
5,"What a wonderful venue! Such a great look with all the wood, lights and colours and great service too!
The cocktail menu is delicious. The Honey Bee is my..."
4,"This charming little place is a welcome addition to the hood, in particular - at least at first - due to the 'meat-free' messaging.  The message might be a..."
5,"If you're looking for accommodation in Downtown Toronto by the Eaton Centre, Yonge (pronounced as young) is the place to go. (43.6535° N, 79.3796° W)

A..."
5,"We are staying in Yonge Suites during our first month in Canada and we are delighted with the place. 

Staff is super nice and always at your service for..."
5,"Haven't stayed at the hotel but I did go to the spa for my birthday.

MAGICAL!!!!!!!!!!"
4,I stayed here while in Toronto for a business trip. The hotel was beautifully decorated and had spacious conference rooms. The staff was very helpful in...
5,Booked this hotel for 1 night by phone about 3 weeks prior to my departure from Los Angeles to attend the Toronto Marathon. Requested for a roll in shower...
5,I was actually really impressed by my stay here. I came here in November and booked a room after searching for a last minute deal on Google from YVR in...
1,"The rudest manager I have ever encountered. Ryden should stay far away from the hospitality and customer service industry because he is terrible at it.
The..."
1,I never post reviews. I made an account because of this experience. A tree fell on my house and the most stressful part of the experience was getting into...
4,"Templar Hotel is nice, but all kinds of bizarre.  You would think that at SOME point of the design process they would have a human being spend the night and..."
3,"I've never heard of Templar Hotel so when my boyfriend found it a decent price, especially for NYE and its location (which is right in the middle of the..."
4,I stayed for one night on Saturday before Christmas so it was rather quiet in the hotel overall. I didn't see anyone else which might be a good thing as I...
3,Pretty basic hotel but located in an excellent location close to Eaton Centre. The windows & floors aren't well insulated so I got some draft going on cold...
5,"Across the street from the #1 Dundas subway station , a great location to get around Toronto. 
The hotel is very clean. The employees are friendly and..."
3,I booked this hotel because I couldn't get anything better in the surrounding area for a 1 night stay in the same price range. The street the hotel is...
5,Luxurious modern style hotel! In the middle of everything. The suites are amazing with two separate bathrooms one with a bath and shower and the other one...
5,I stayed at the Four Seasons for two nights and my entire experience here was wonderful. The room was super clean with branded toiletries. I also really...
5,"My friend and I stayed here for a night and it was a great experience. 
I downloaded their app when I made the booking and I requested an early checkin..."
2,"well... you get what you pay for i guess. bare bones sleeping room with good small in-room amenities, uncomfortable bed.  clean facilities & common areas,..."
3,"I never quite know what to do with a place like this. 

Do you give them a star because they've got a computer with free internet access, or do you take one..."
1,God. Awful. They tried to put me in a closet in the back of the building. Let's just say my broke @ss ate the charge and stayed somewhere else.
5,"I was really pleased with this hotel booking and stay.  I made the reservation because we have a Venture card and receive 10 x points with Hotels.com 

This..."
5,"Wow, did we like this hotel. The room and especially the bathroom was huge.  Not only was the bathroom big, it was really nice.  The room was nice too, but..."
5,Great value on hotel tonight. Well located hotel with comfortable rooms and friendly service. Nice gym. Would return.
3,"Rooms are small!! But very clean. I stayed here for a school function for a few days. Some of my classmates said they smelled mildew. I didn't in my room,..."
2,I book a room at this hotel for one night as part of a girls night with me (20) and my sister (22). When we got to the desk to check in it was super slow...
1,"This is horrible hotel ! We paid 400 per night they stuck us in 4x4 room with no windows, dirty room with musty smell.  ! When we tried to switch the room..."
5,"Beautiful hotel... renovated, clean, upscale and trendy. My favorite part was the customer service we received. Would definitely stay here again. 

Also..."
4,"My boyfriend and I stayed here for a week in the master suite. Overall, our stay was wonderful. For a 3-star hotel, the rooms feel elevated and polished...."
3,"The place is really easy to miss.
Passed by it 3 times before we realized the outdoor cafe out front was the entrance.
Nudie bar right across the..."
5,"This boutique hotel was very impressive and a great location for anybody looking to have some fun in Toronto!

First of all the businesses operated by some..."
1,I used to work in the hotel as a cleaner. Many of you who have stayed in the hotel might have seen me around.As of recently I have decided to leave because...
5,"Visited Vaughan a week prior to Christmas 2022. I usually stay at a different hotel, but due to this hotels proximity to the reason for my visit, opted to..."
5,Great place to have a big party.   The Novotel is a lovely place to have a great party.  We had my sons first birthday party here.  We had it in the huge...
1,Extremely rude front desk staff who actually lie to people! I've never met more unhelpful people in my life! Thanks for ruining my day - both the woman and...
5,"If you are looking for a clean, friendly, well taken care of hotel look no further. 

It's tucked away directly from the road (so it feels safer) but also..."
1,"I understand the hotel is under construction and I believe switching owner/brands but that is not an excuse. 

ZERO signage anywhere. Not on Islington, not..."
1,"Awful services and customer services.
Terrible breakfast, no restaurant, very noisy (due to construction),  very rude staff, the manager (Mr. Shachi) did..."
5,"I couldn't have been more pleased with my decision to stay at the Gloucester Square Inn during a recent visit to Toronto.   

The inn itself comprises two..."
5,The front desk associates were very attentive. They provided recommendations  of things to do based on the activities going on that weekend. They were super...
4,"Clean spacious with the most polite and helpful staff . Quiet cafe on property  but closes earlier than stated.

Staff is there for 24 hours,  rooms are..."
4,I would highly recommend Delsuites to my colleagues. The staff is very professional and the suites are well managed. Our unit was adequately cleaned and...
5,"Providing extended stays for business and personal travelers, Del Suites provides guests with furnished apartments with all amenities (cable, landline,..."
5,The hotel is freshly re-done and very clean. The room design is well better than your average beige hotel room. The furniture is modernist which gives a...
1,"Horrible hotel, crack heads all over, dirty rooms, rude staff...DO not STAY Here !!!!!

As well, I reserved 2 nights, but had to leave after 1 due to a..."
5,"After reading many reviews of this place, and considering all the pros and cons and price I decided to book this place.  

When I arrived, I was really..."
